FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e,3033.32,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CO2,3029.26,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of CH4,2.25,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of N2O,1.8,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e,1.74529,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CO2,1.74296,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of CH4,0.00129,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e of N2O,0.00104,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e,0.24106,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CO2,0.24074,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of CH4,0.00018,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e of N2O,0.00014,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e,0.2224,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CO2,0.2221,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of CH4,0.00017,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e of N2O,0.00013,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e,2539.25,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CO2,2534.47,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of CH4,3.44,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e of N2O,1.34,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e,0.44436,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CO2,0.44353,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of CH4,0.0006,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e of N2O,0.00023,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e,0.20227,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of CO2,0.20188,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of CH4,0.00028,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e of N2O,0.00011,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e,0.18254,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e of CO2,0.18219,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e of CH4,0.00025,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e of N2O,0.0001,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e,2559.17,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e of CO2,2554.39,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e of CH4,3.44,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e of N2O,1.34,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e,1.158,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of CO2,1.15583,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of CH4,0.00156,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of N2O,0.00061,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e,0.20386,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of CO2,0.20347,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of CH4,0.00028,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of N2O,0.00011,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e,0.18397,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of CO2,0.18362,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of CH4,0.00025,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of N2O,0.0001,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e,2939.29,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of CO2,2935.18,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of CH4,2.28,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of N2O,1.83,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e,1.55709,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of CO2,1.55491,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of CH4,0.00121,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of N2O,0.00097,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e,0.23031,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CO2,0.22999,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CH4,0.00018,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of N2O,0.00014,2022,08/09/2022,3
,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e,0.21449,2022,08/09/2022,3
