FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
1_100_1002_8_1,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e,1.16832965,2023,20/06/2023,1.1
1_100_1002_8_2,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of CO2 per unit,1.16604,2023,20/06/2023,1.1
1_100_1002_8_3,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of CH4 per unit,0.0017472,2023,20/06/2023,1.1
1_100_1002_8_4,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e of N2O per unit,0.00054245,2023,20/06/2023,1.1
1_100_1002_7_1,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e,0.204201419,2023,20/06/2023,1.1
1_100_1002_7_2,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of CO2 per unit,0.20379,2023,20/06/2023,1.1
1_100_1002_7_3,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0003136,2023,20/06/2023,1.1
1_100_1002_7_4,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e of N2O per unit,9.78E-05,2023,20/06/2023,1.1
1_100_1002_6_1,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e,0.184318926,2023,20/06/2023,1.1
1_100_1002_6_2,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.18395,2023,20/06/2023,1.1
1_100_1002_6_3,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.00028,2023,20/06/2023,1.1
1_100_1002_6_4,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e of N2O per unit,8.89E-05,2023,20/06/2023,1.1
1_100_1003_15_1,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e,2939.360949,2023,20/06/2023,1.1
1_100_1003_15_2,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of CO2 per unit,2935.18,2023,20/06/2023,1.1
1_100_1003_15_3,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of CH4 per unit,2.5536,2023,20/06/2023,1.1
1_100_1003_15_4,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e of N2O per unit,1.627348993,2023,20/06/2023,1.1
1_100_1003_8_1,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e,1.557127784,2023,20/06/2023,1.1
1_100_1003_8_2,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of CO2 per unit,1.55491,2023,20/06/2023,1.1
1_100_1003_8_3,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of CH4 per unit,0.0013552,2023,20/06/2023,1.1
1_100_1003_8_4,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e of N2O per unit,0.000862584,2023,20/06/2023,1.1
1_100_1003_7_1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e,0.230316097,2023,20/06/2023,1.1
1_100_1003_7_2,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CO2 per unit,0.22999,2023,20/06/2023,1.1
1_100_1003_7_3,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0002016,2023,20/06/2023,1.1
1_100_1003_7_4,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e of N2O per unit,0.000124497,2023,20/06/2023,1.1
1_100_1003_6_1,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e,0.214496004,2023,20/06/2023,1.1
1_100_1003_6_2,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.21419,2023,20/06/2023,1.1
1_100_1003_6_3,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.0001904,2023,20/06/2023,1.1
1_100_1003_6_4,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e of N2O per unit,0.000115604,2023,20/06/2023,1.1
1_100_1004_15_1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e,2562.574411,2023,20/06/2023,1.1
1_100_1004_15_2,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e of CO2 per unit,2557.53,2023,20/06/2023,1.1
1_100_1004_15_3,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e of CH4 per unit,3.8528,2023,20/06/2023,1.1
1_100_1004_15_4,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e of N2O per unit,1.191610738,2023,20/06/2023,1.1
1_100_1004_1_1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e,2.03839031,2023,20/06/2023,1.1
1_100_1004_1_2,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e of CO2 per unit,2.03437,2023,20/06/2023,1.1
1_100_1004_1_3,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e of CH4 per unit,0.0030688,2023,20/06/2023,1.1
1_100_1004_1_4,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e of N2O per unit,0.00095151,2023,20/06/2023,1.1
1_100_1004_7_1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e,0.202671419,2023,20/06/2023,1.1
1_100_1004_7_2,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e of CO2 per unit,0.20226,2023,20/06/2023,1.1
1_100_1004_7_3,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0003136,2023,20/06/2023,1.1
1_100_1004_7_4,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e of N2O per unit,9.78E-05,2023,20/06/2023,1.1
1_100_1004_6_1,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e,0.182928926,2023,20/06/2023,1.1
1_100_1004_6_2,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.18256,2023,20/06/2023,1.1
1_100_1004_6_3,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.00028,2023,20/06/2023,1.1
1_100_1004_6_4,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e of N2O per unit,8.89E-05,2023,20/06/2023,1.1
1_100_1005_15_1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e,2581.984411,2023,20/06/2023,1.1
1_100_1005_15_2,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e of CO2 per unit,2576.94,2023,20/06/2023,1.1
1_100_1005_15_3,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e of CH4 per unit,3.8528,2023,20/06/2023,1.1
1_100_1005_15_4,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e of N2O per unit,1.191610738,2023,20/06/2023,1.1
1_100_1005_1_1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e,2.05383031,2023,20/06/2023,1.1
1_100_1005_1_2,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e of CO2 per unit,2.04981,2023,20/06/2023,1.1
1_100_1005_1_3,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e of CH4 per unit,0.0030688,2023,20/06/2023,1.1
1_100_1005_1_4,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e of N2O per unit,0.00095151,2023,20/06/2023,1.1
1_100_1005_7_1,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e,0.204201419,2023,20/06/2023,1.1
1_100_1005_7_2,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e of CO2 per unit,0.20379,2023,20/06/2023,1.1
1_100_1005_7_3,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e of CH4 per unit,0.0003136,2023,20/06/2023,1.1
1_100_1005_7_4,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e of N2O per unit,9.78E-05,2023,20/06/2023,1.1
