FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
25_300_3031_9_2,Scope 3,Business travel- land,Cars (by market segment),Sports,,Petrol,miles,kg CO2e of CO2 per unit,0.38057,2023,20/06/2023,1.1
25_300_3031_9_3,Scope 3,Business travel- land,Cars (by market segment),Sports,,Petrol,miles,kg CO2e of CH4 per unit,0.0005712,2023,20/06/2023,1.1
25_300_3031_9_4,Scope 3,Business travel- land,Cars (by market segment),Sports,,Petrol,miles,kg CO2e of N2O per unit,0.000515772,2023,20/06/2023,1.1
25_300_3032_9_1,Scope 3,Business travel- land,Cars (by market segment),Sports,,Unknown,miles,kg CO2e,0.363984184,2023,20/06/2023,1.1
25_300_3032_9_2,Scope 3,Business travel- land,Cars (by market segment),Sports,,Unknown,miles,kg CO2e of CO2 per unit,0.36264,2023,20/06/2023,1.1
25_300_3032_9_3,Scope 3,Business travel- land,Cars (by market segment),Sports,,Unknown,miles,kg CO2e of CH4 per unit,0.0004816,2023,20/06/2023,1.1
25_300_3032_9_4,Scope 3,Business travel- land,Cars (by market segment),Sports,,Unknown,miles,kg CO2e of N2O per unit,0.000862584,2023,20/06/2023,1.1
25_300_3033_9_1,Scope 3,Business travel- land,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.160389187,2023,20/06/2023,1.1
25_300_3033_9_2,Scope 3,Business travel- land,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.15932,2023,20/06/2023,1.1
25_300_3033_9_3,Scope 3,Business travel- land,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.0005712,2023,20/06/2023,1.1
25_300_3033_9_4,Scope 3,Business travel- land,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.000497987,2023,20/06/2023,1.1
25_300_3034_9_1,Scope 3,Business travel- land,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e,0.134338732,2023,20/06/2023,1.1
25_300_3034_9_2,Scope 3,Business travel- land,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.13315,2023,20/06/2023,1.1
25_300_3034_9_3,Scope 3,Business travel- land,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.000504,2023,20/06/2023,1.1
25_300_3034_9_4,Scope 3,Business travel- land,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.000684732,2023,20/06/2023,1.1
25_300_3035_4_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,km,kg CO2e,0.201946449,2023,20/06/2023,1.1
25_300_3035_4_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,km,kg CO2e of CO2 per unit,0.20027,2023,20/06/2023,1.1
25_300_3035_4_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,km,kg CO2e of CH4 per unit,4.64E-06,2023,20/06/2023,1.1
25_300_3035_4_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Diesel,km,kg CO2e of N2O per unit,0.001671812,2023,20/06/2023,1.1
25_300_3036_4_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,km,kg CO2e,0.204048534,2023,20/06/2023,1.1
25_300_3036_4_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,km,kg CO2e of CO2 per unit,0.20337,2023,20/06/2023,1.1
25_300_3036_4_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,km,kg CO2e of CH4 per unit,0.0003584,2023,20/06/2023,1.1
25_300_3036_4_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Petrol,km,kg CO2e of N2O per unit,0.000320134,2023,20/06/2023,1.1
25_300_3037_4_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,km,kg CO2e,0.202706907,2023,20/06/2023,1.1
25_300_3037_4_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,km,kg CO2e of CO2 per unit,0.20129,2023,20/06/2023,1.1
25_300_3037_4_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,km,kg CO2e of CH4 per unit,0.0001008,2023,20/06/2023,1.1
25_300_3037_4_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Unknown,km,kg CO2e of N2O per unit,0.001316107,2023,20/06/2023,1.1
25_300_3038_4_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.103275583,2023,20/06/2023,1.1
25_300_3038_4_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.10249,2023,20/06/2023,1.1
25_300_3038_4_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.0004032,2023,20/06/2023,1.1
25_300_3038_4_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.000382383,2023,20/06/2023,1.1
25_300_3039_4_1,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e,0.061042475,2023,20/06/2023,1.1
25_300_3039_4_2,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.06036,2023,20/06/2023,1.1
25_300_3039_4_3,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.0002912,2023,20/06/2023,1.1
25_300_3039_4_4,Scope 3,Business travel- land,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.000391275,2023,20/06/2023,1.1
