FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.2224,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00017,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.2221,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00013,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,kWh (Net CV),kg CO2e,0.24106,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,kWh (Net CV),kg CH4,0.00018,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,kWh (Net CV),kg CO2,0.24074,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Energy - Net CV,kWh (Net CV),kg N2O,0.00014,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Volume,litres,kg CO2e,1.74529,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Volume,litres,kg CH4,0.00129,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Volume,litres,kg CO2,1.74296,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Volume,litres,kg N2O,0.00104,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Tonnes,tonnes,kg CO2e,3033.32,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Tonnes,tonnes,kg CH4,2.25,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Tonnes,tonnes,kg CO2,3029.26,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Butane,,Tonnes,tonnes,kg N2O,1.8,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18316,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18282,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20297,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg CO2,0.20258,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CO2e,0.44423,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CH4,0.0006,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg CO2,0.4434,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Volume,litres,kg N2O,0.00023,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CO2e,2538.48,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CH4,3.44,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg CO2,2533.69,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,CNG,,Tonnes,tonnes,kg N2O,1.34,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18438,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18403,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20431,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg CO2,0.20393,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CO2e,1.15623,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CH4,0.00156,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg CO2,1.15407,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Volume,litres,kg N2O,0.00061,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CO2e,2555.28,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CH4,3.44,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg CO2,2550.49,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LNG,,Tonnes,tonnes,kg N2O,1.34,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.21449,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00017,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.21419,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00013,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CO2e,0.23031,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CH4,0.00018,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg CO2,0.22999,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Energy - Net CV,kWh (Net CV),kg N2O,0.00014,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg CO2e,1.55709,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg CH4,0.00121,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg CO2,1.55491,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Volume,litres,kg N2O,0.00097,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg CO2e,2939.29,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg CH4,2.28,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg CO2,2935.18,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,LPG,,Tonnes,tonnes,kg N2O,1.83,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18316,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00025,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.18282,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.0001,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CO2e,0.20297,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg CO2,0.20258,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh (Net CV),kg N2O,0.00011,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CO2e,2.02135,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CH4,0.00274,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg CO2,2.01754,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,kg N2O,0.00107,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CO2e,2538.48,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CH4,3.44,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg CO2,2533.69,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,kg N2O,1.34,2021,22/10/2021,3
,Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.18324,2021,22/10/2021,3
